Week,Site,Individual,Nail_Num,Species,Date,Phenology_Stage,Height,Perc_Green,Notes
1,RA05,5,5.2,POSE,4/2/2022,3,1.7,30,
1,RA05,5,5.1,POSE,4/2/2022,3,1.5,60,
1,RA05,6,6.2,POSE,4/2/2022,4,1.9,80,
1,RA05,6,6.1,HECO,4/2/2022,3,1.4,2,
1,RA05,7,7.2,POSE,4/2/2022,3,2,60,
1,RA05,7,7.1,POSE,4/2/2022,3,1.8,40,
1,RA05,8,8.1,POSE,4/2/2022,3,1.5,75,borderline 4
1,RA05,8,8.2,POSE,4/2/2022,3,1.1,50,borderline 4
1,RA05,9,9.2,POSE,4/2/2022,3,1.8,30,
1,RA05,9,9.1,HECO,4/2/2022,3,1.3,1,borderline 2 but enough new growth for 3
1,RA05,10,10.2,POSE,4/2/2022,3,1.6,50,
1,RA05,10,10.1,HECO,4/2/2022,2,1.3,1,borderline 3 but most/all of green at bottom of old growth (brown on top)
1,RA07,1,1.1,ACHY,4/3/2022,3,2.5,15,
1,RA07,1,1.2,POSE,4/3/2022,3,1.4,50,
1,RA07,2,2.1,POSE,4/3/2022,3,2,50,
1,RA07,2,2.2,POSE,4/3/2022,3,1.8,40,
1,RA07,3,3.1,POSE,4/3/2022,3,1.8,70,
1,RA07,3,3.2,POSE,4/3/2022,3,1.8,60,
1,RA07,4,4.1,POSE,4/3/2022,3,2.2,60,
1,RA07,4,4.2,POSE,4/3/2022,3,1.4,50,
1,RA07,5,5.1,POSE,4/3/2022,3,2,50,
1,RA07,5,5.2,POSE,4/3/2022,3,1.9,60,
1,RA07,6,6.2,POSE,4/3/2022,3,2.8,70,
1,RA07,6,6.1,HECO,4/3/2022,3,2.7,20,
1,RA07,7,7.1,ACHY,4/3/2022,3,2.2,35,
1,RA07,7,7.2,POSE,4/3/2022,3,1.9,80,
1,RA07,8,8.2,POSE,4/3/2022,3,2,90,
1,RA07,8,8.1,ACHY,4/3/2022,3,1.9,10,
1,RA07,9,9.2,POSE,4/3/2022,3,1.8,80,borderline 4
1,RA07,9,9.1,HECO,4/3/2022,3,1.2,10,
1,RA07,10,10.2,POSE,4/3/2022,3,2,60,
1,RA07,10,10.1,POSE,4/3/2022,3,1.9,50,
1,RA17,1,1.1,ELsp,4/3/2022,3,3.2,50,"some green seems older (brown on top) but most new, only not 4 because of long old growth"
1,RA17,1,1.2,HECO,4/3/2022,3,1.7,20,lots of green seems to be old (brown on top)
1,RA17,1,1,BOGR,4/3/2022,2,0.1,0.1,some bits of green just starting to peek through
1,RA17,2,2.1,HECO,4/3/2022,3,1.8,5,most green old (brown on top) but some leaves of new growth
1,RA17,2,2.2,HECO,4/3/2022,3,1.8,30,green 50/50 new/old growth
1,RA17,2,2,BOGR,4/3/2022,2,0.1,0.1,other green grass intermixed
1,RA17,3,3.1,HECO,4/3/2022,3,2.5,40,"most brown is high new growth, most green is new at bottom"
1,RA17,3,3.2,HECO,4/3/2022,3,1.6,30,green 50/50 new/old growth
1,RA17,3,3,BOGR,4/3/2022,2,0.3,0.1,some bits of green just starting to peek through
1,RA17,4,4.2,HECO,4/3/2022,3,1.9,20,lots of green seems to be old (brown on top)
1,RA17,4,4.1,HECO,4/3/2022,3,1.7,5,most green old growth but a couple leaves new
1,RA17,4,4,BOGR,4/3/2022,2,0.3,0.1,some bits of green just starting to peek through
1,RA17,5,5.1,HECO,4/3/2022,3,2.5,10,green 50/50 new/old growth
1,RA17,5,5.2,HECO,4/3/2022,3,1.8,40,looks new
1,RA17,5,5,BOGR,4/3/2022,2,0.1,0.1,some bits of green just starting to peek through
1,RA17,6,6.1,HECO,4/3/2022,3,3.4,30,green 50/50 new/old growth
1,RA17,6,6.2,HECO,4/3/2022,3,2.5,60,
1,RA17,6,6,BOGR,4/3/2022,2,0.2,0.1,other green grass intermixed
1,RA17,7,7.1,HECO,4/3/2022,3,3.5,15,large bunchgrass w/ lots of brown
1,RA17,7,7.2,HECO,4/3/2022,3,2.4,60,
1,RA17,7,7,BOGR,4/3/2022,2,0.2,0.1,some bits of green just starting to peek through
1,RA17,8,8.1,HECO,4/3/2022,3,3.8,15,large bunchgrass w/ lots of brown
1,RA17,8,8.2,HECO,4/3/2022,3,2.6,70,most green new growth
1,RA17,8,8,BOGR,4/3/2022,2,0.1,0.1,some bits of green just starting to peek through
1,RA17,9,9.1,ACHY,4/3/2022,3,2.8,30,
1,RA17,9,9.2,HECO,4/3/2022,3,2.3,70,"brown mostly made up of long old growth, close to a 4"
1,RA17,9,9,BOGR,4/3/2022,2,0.1,0.1,just barely seeing green at the bottom
1,RA17,10,10.1,HECO,4/3/2022,3,2.6,20,large bunchgrass w/ lots of brown
1,RA17,10,10.2,HECO,4/3/2022,3,1.8,40,
1,RA17,10,10,BOGR,4/3/2022,2,0.1,0.1,just barely seeing green at the bottom
1,RA18,1,1.1,HECO,4/2/2022,3,1.8,5,"most green appears to be last years (brown on top) but some appears to be new growth (no brown on top), hence 3 not 2"
1,RA18,1,1.2,POSE,4/2/2022,4,1.6,90,"all looks like new growth, no brown or purple, green growth at or higher than brown"
1,RA18,1,1,BOGR,4/2/2022,2,0.3,0.1,mostly green POSE next to it
1,RA18,2,2.2,POSE,4/2/2022,3,1.5,50,all green looks new but doesn't get as high as brown
1,RA18,2,2.1,HECO,4/2/2022,3,1.4,8,"most green appears to be last years (brown on top) but some appears to be new growth (no brown on top), hence 3 not 2"
1,RA18,2,2,BOGR,4/2/2022,2,0.1,0.1,one single bit of green
1,RA18,3,3.2,POSE,4/2/2022,3,1.8,50,borderline 4 but most green under old growth
1,RA18,3,3.1,HECO,4/2/2022,3,1.4,5,"most green appears to be last years (brown on top) but some appears to be new growth (no brown on top), hence 3 not 2"
1,RA18,3,3,BOGR,4/2/2022,1,0,0,
1,RA18,4,4.2,POSE,4/2/2022,3,1.7,50,borderline 4 but most green under old growth
1,RA18,4,4.1,ACHY,4/2/2022,3,0.8,3,"most green appears to be last years (brown on top) but some appears to be new growth (no brown on top), borderline 2"
1,RA18,4,4,BOGR,4/2/2022,1,0,0,some green poking through likely POSE
1,RA18,5,5.2,POSE,4/2/2022,3,1.7,60,borderline 4 but most green under old growth
1,RA18,5,5.1,HECO,4/2/2022,3,1.6,40,"good bit of new growth, easy 3"
1,RA18,5,5,BOGR,4/2/2022,2,0.2,0.1,"tiniest bit of green, other green parts look like POSE"
1,RA18,6,6.1,HECO,4/2/2022,3,2.5,1,"green about 50/50 new/old growth, borderline 2 but there's enough new green to call a 3"
1,RA18,6,6.2,POSE,4/2/2022,4,2,80,"solid 4, new growth same height as old brown"
1,RA18,6,6,BOGR,4/2/2022,2,0.2,0.1,several tiny bits of green creeping in
1,RA18,7,7.1,HECO,4/2/2022,3,2.3,15,"most green is new growth, not quite borderline 2 but closer to 2 than 4"
1,RA18,7,7.2,POSE,4/2/2022,4,1.6,80,"solid 4, new growth same height as old brown"
1,RA18,7,7,BOGR,4/2/2022,1,0,0,"very nearly called a 2, some slight bits of purple may have been appearing but no green"
1,RA18,8,8.1,HECO,4/2/2022,3,1.7,5,green 50/50 new/old growth
1,RA18,8,8.2,POSE,4/2/2022,4,1.5,60,close to being a 5
1,RA18,8,8,BOGR,4/2/2022,1,0,0,some green POSE nearby
1,RA18,9,9.1,sedge,4/2/2022,3,2.1,1,just a few little blades of new growth making this a 3
1,RA18,9,9.2,POSE,4/2/2022,4,1.7,70,easy 4
1,RA18,9,9,BOGR,4/2/2022,1,0,0,some green POSE poking through
1,RA18,10,10.1,sedge,4/2/2022,3,1.5,1,just a few little blades of new growth making this a 3
1,RA18,10,10.2,POSE,4/2/2022,4,1.4,60,borderline 5
1,RA18,10,10,BOGR,4/2/2022,1,0,0,some green POSE poking through
1,RA22,1,1.2,POSE,3/31/2022,3,1.5,60,Filled from pictures
1,RA22,1,1.1,HECO,3/31/2022,2,0.5,NA,
1,RA22,1,1,BOGR,3/31/2022,1,0,0,
1,RA22,2,2.2,ACHY,3/31/2022,3,1.7,35,Filled from pictures
1,RA22,2,2,BOGR,3/31/2022,1,0,0,
1,RA22,2,2.1,HECO,3/31/2022,1,0,0,
1,RA22,3,3.1,HECO,3/31/2022,3,2.2,40,Filled from pictures
1,RA22,3,3.2,POSE,3/31/2022,3,1.6,70,Filled from pictures
1,RA22,3,3,BOGR,3/31/2022,1,0,0,
1,RA22,4,4.1,HECO,3/31/2022,2,0.8,10,Filled from pictures; nail switched next week
1,RA22,4,4.2,POSE,3/31/2022,3,0.7,70,Filled from pictures; nail switched next week
1,RA22,4,4,BOGR,3/31/2022,1,0,0,
1,RA22,5,5.2,POSE,3/31/2022,3,1.4,NA,nail switched next week
1,RA22,5,5.1,HECO,3/31/2022,2,0.6,NA,nail switched next week
1,RA22,5,5,BOGR,3/31/2022,1,0,0,
1,RA22,6,6.2,POSE,3/31/2022,3,1.5,55,Filled from pictures
1,RA22,6,6.1,HECO,3/31/2022,2,1,30,Filled from pictures
1,RA22,6,6,BOGR,3/31/2022,1,0,0,
1,RA22,7,7.2,POSE,3/31/2022,3,1.4,NA,
1,RA22,7,7.1,HECO,3/31/2022,2,0.3,10,Filled from pictures
1,RA22,7,7,BOGR,3/31/2022,1,0,0,
1,RA22,8,8.2,POSE,3/31/2022,3,1.6,70,Filled from pictures
1,RA22,8,8.1,POFE,3/31/2022,2,1.3,10,Filled from pictures; unsure about recorded height
1,RA22,8,8,BOGR,3/31/2022,1,0,0,
1,RA22,9,9.2,POSE,3/31/2022,3,0.7,50,Filled from pictures
1,RA22,9,9.1,HECO,3/31/2022,2,0.4,10,Filled from pictures
1,RA22,9,9,BOGR,3/31/2022,1,0,0,
1,RA22,10,10.2,POSE,3/31/2022,3,0.8,85,Filled from pictures
1,RA22,10,10.1,HECO,3/31/2022,2,0.4,5,Filled from pictures
1,RA22,10,10,BOGR,3/31/2022,1,0,0,
1,RA23,1,1.2,POSE,4/3/2022,4,2.8,90,somewhat close to a 5
1,RA23,1,1.1,HECO,4/3/2022,3,1.7,15,green 50/50 new/old growth
1,RA23,1,1,BOGR,4/3/2022,2,0.2,0.1,little bits of green on bottom
1,RA23,2,2.2,POSE,4/3/2022,4,2.9,90,somewhat close to a 5
1,RA23,2,2.1,HECO,4/3/2022,3,2.2,20,green 50/50 new/old growth
1,RA23,2,2,BOGR,4/3/2022,2,0.1,0.1,"little bits of green on bottom, POSE growing near/in"
1,RA23,3,3.1,HECO,4/3/2022,3,2.8,10,green mostly new growth
1,RA23,3,3.2,POSE,4/3/2022,4,2.4,80,
1,RA23,3,3,BOGR,4/3/2022,2,0.1,0.1,little bits of green on bottom
1,RA23,4,4.1,HECO,4/3/2022,3,1.7,10,green mostly new growth
1,RA23,4,4.2,HECO,4/3/2022,3,1.1,60,
1,RA23,4,4,BOGR,4/3/2022,3,0.7,5,longer green spot than other have shown
1,RA23,5,5.1,HECO,4/3/2022,3,2.9,15,green 50/50 new/old growth
1,RA23,5,5.2,POSE,4/3/2022,4,1.8,90,somewhat close to a 5
1,RA23,5,5,BOGR,4/3/2022,2,0.1,0.1,little bits of green on bottom
1,RA23,6,6.1,HECO,4/3/2022,3,1.9,15,
1,RA23,6,6.2,POSE,4/3/2022,3,1.8,85,borderline 4
1,RA23,6,6,BOGR,4/3/2022,1,0,0,"very nearly called a 2, some slight bits of purple may have been appearing but no green"
1,RA23,7,7.1,HECO,4/3/2022,3,2.1,15,
1,RA23,7,7.2,POSE,4/3/2022,3,1.8,85,borderline 4
1,RA23,7,7,BOGR,4/3/2022,2,0.2,0.1,"little bits of green on bottom, POSE growing near/in"
1,RA23,8,8.2,HECO,4/3/2022,3,2.5,15,
1,RA23,8,8.1,HECO,4/3/2022,3,2.3,20,
1,RA23,8,8,BOGR,4/3/2022,2,0.1,0.1,tiniest bit of green
1,RA23,9,9.2,POSE,4/3/2022,4,2,90,
1,RA23,9,9.1,HECO,4/3/2022,3,1.6,5,
1,RA23,9,9,BOGR,4/3/2022,2,0.1,0.1,little bits of green on bottom
1,RA23,10,10.2,POSE,4/3/2022,4,2.7,85,
1,RA23,10,10.1,ACHY,4/3/2022,2,2.1,1,not quite enough green for a 3
1,RA23,10,10,BOGR,4/3/2022,1,0,0,ELLA growing near/in
1,RA29,1,1.2,POSE,4/4/2022,3,1.3,70,
1,RA29,1,1.1,HECO,4/4/2022,2,0.9,1,green looks older (purple on top)
1,RA29,2,2.2,POSE,4/4/2022,3,1.4,70,close to being a 4
1,RA29,2,2.1,ACsp,4/4/2022,3,1.1,15,
1,RA29,3,3.2,POSE,4/4/2022,3,1.7,80,borderline 4
1,RA29,3,3.1,ACsp,4/4/2022,3,0.6,10,green looks very old but from this year (about half green half purple)
1,RA29,4,4.1,ACsp,4/4/2022,3,2.7,30,green 50/50 new/old growth
1,RA29,4,4.2,POSE,4/4/2022,3,1.6,80,borderline 4
1,RA29,5,5.2,POSE,4/4/2022,4,1.9,95,
1,RA29,5,5.1,ACsp,4/4/2022,3,1.6,10,nearly a 2 but growth was tall enough for a 3
1,RA29,6,6.1,ACsp,4/4/2022,3,2.2,25,
1,RA29,6,6.2,POSE,4/4/2022,4,2.1,85,
1,RA29,7,7.2,POSE,4/4/2022,4,1.9,90,
1,RA29,7,7.1,POSE,4/4/2022,3,1.7,75,
1,RA29,8,8.1,ACsp,4/4/2022,3,1.9,25,
1,RA29,8,8.2,POSE,4/4/2022,3,1.2,75,
1,RA29,9,9.2,POSE,4/4/2022,3,2,75,
1,RA29,9,9.1,ACsp,4/4/2022,3,1.4,10,nearly a 2 but growth was tall enough for a 3
1,RA29,10,10.2,POSE,4/4/2022,3,2.1,70,
1,RA29,10,10.1,ACsp,4/4/2022,2,0.4,5,green may have started growing earlier (purple on top) but didn't get far
2,RA03,1,1.2,POSE,4/9/2022,4,2,85,close to a 5
2,RA03,1,1.1,HECO,4/9/2022,3,1.4,20,"mostly old growth (check ID, different week 1 to week 2)"
2,RA03,1,F1,ANsp,4/9/2022,3,0.3,5,"very pale forb widespread, unsure what color should be but some areas starting to get slight green tinge"
2,RA03,2,2.1,HECO,4/9/2022,3,1.3,20,
2,RA03,2,2.2,HECO,4/9/2022,3,0.7,10,"most green old, 2 small leaves new"
2,RA03,2,F2,PHHO,4/9/2022,4,0.5,95,phlox? Mostly green
2,RA03,3,3.1,POFE,4/9/2022,3,2.2,30,
2,RA03,3,3.2,POSE,4/9/2022,3,1.5,60,
2,RA03,3,F3,ANsp,4/9/2022,3,0.9,5,"very pale forb widespread, unsure what color should be but some areas starting to get slight green tinge"
2,RA03,4,4.1,ELEL,4/9/2022,3,1.6,30,"(check ID, different week 1 to week 2)"
2,RA03,4,F4,LERE,4/9/2022,4,1.5,100,"bitterroot, no flower yet"
2,RA03,4,4.2,POSE,4/9/2022,3,1.3,70,
2,RA03,5,5.1,POFE,4/9/2022,3,2.3,25,this may be HECO
2,RA03,5,5.2,POFE,4/9/2022,4,1.8,40,"half very green, half fully dead"
2,RA03,5,F5,PHHO,4/9/2022,3,1.4,40,
2,RA03,6,6.2,POSE,4/9/2022,4,1.7,50,
2,RA03,6,6.1,ELEL,4/9/2022,3,1.3,10,
2,RA03,6,F6,ERCA,4/9/2022,3,0.3,10,succulent mostly purple but starting to turn green
2,RA03,7,7.1,ELEL,4/9/2022,3,1.9,20,
2,RA03,7,7.2,POSE,4/9/2022,4,1.5,65,
2,RA03,7,F7,LERE,4/9/2022,4,1.3,100,"bitterroot, no flower buds yet"
2,RA03,8,8.1,POFE,4/9/2022,3,2.8,40,POSE right next to it
2,RA03,8,8.2,POSE,4/9/2022,3,1.6,70,
2,RA03,8,F8 top,PHLO,4/9/2022,3,0.3,70,2 forbs on top of each other (check ID and which is chosen)
2,RA03,9,9.2,POSE,4/9/2022,3,1.9,70,
2,RA03,9,9.1,HECO,4/9/2022,3,1.7,20,
2,RA03,9,F9,ANsp,4/9/2022,3,1.1,15,"unsure sp., mostly purple leaves + 1.5 turning green"
2,RA03,10,10.1,POFE,4/9/2022,3,2.8,30,
2,RA03,10,10.2,POSE,4/9/2022,3,1.5,70,
2,RA03,10,F10,PHHO,4/9/2022,3,0.5,20,phlox? Some dull green some bright green
2,RA05,1,1.1,ELEL,4/8/2022,3,2.1,10,
2,RA05,1,1.2,POSE,4/8/2022,3,1.7,60,
2,RA05,1,F1,PHHO,4/8/2022,1,0,0,phlox? Other individuals near are starting to green
2,RA05,2,2.1,ELEL,4/8/2022,3,2.3,15,
2,RA05,2,2.2,POSE,4/8/2022,4,1.6,70,close to a 3 but some new grass as tall as old
2,RA05,2,F2,PHHO,4/8/2022,3,0.6,40,"phlox? Near half green, other half gray"
2,RA05,3,3.1,POSE,4/8/2022,4,2.1,80,
2,RA05,3,3.2,POSE,4/8/2022,4,2,70,
2,RA05,3,F3,EROV,4/8/2022,1,0.5,0,"succulent? Mostly pale, not sure what color should be (check picture)"
2,RA05,4,4.1,ACHY,4/8/2022,3,2.4,20,
2,RA05,4,4.2,POSE,4/8/2022,4,1.4,65,
2,RA05,4,F4,PHHO,4/8/2022,3,0.3,50,phlox? Turning green
2,RA05,5,5.1,POSE,4/8/2022,4,1.9,75,
2,RA05,5,5.2,POSE,4/8/2022,3,1.2,50,
2,RA05,5,F5,PHHO,4/8/2022,3,0.5,85,"phlox? Took picture of nearby forb? Measure this if forb (3/0.7/90). (Keeping the phlox for this, I mistakenly switched F7 in week three instead of this one)"
2,RA05,6,6.1,HECO,4/8/2022,3,2.3,25,
2,RA05,6,6.2,POSE,4/8/2022,5,2.1,85,close to a 4
2,RA05,6,F6,PHHO,4/8/2022,3,0.2,70,phlox? Turning green
2,RA05,7,7.1,POSE,4/8/2022,4,1.9,70,
2,RA05,7,7.2,POSE,4/8/2022,3,1.5,60,
2,RA05,7,F7,PHHO,4/8/2022,3,0.2,40,phlox. May be two individuals here where one is green and one is gray
2,RA05,8,8.1,POSE,4/8/2022,4,1.8,70,
2,RA05,8,8.2,POSE,4/8/2022,4,1.8,70,close to a 5
2,RA05,8,F8,PHHO,4/8/2022,3,0.2,25,phlox turning green
2,RA05,9,9.2,POSE,4/8/2022,3,1.7,50,
2,RA05,9,9.1,HECO,4/8/2022,3,1.2,5,"very little green, much looks old (brown on top)"
2,RA05,9,F9,PELA,4/8/2022,3,0.7,90,"initially measured phlox, switched measurements to this forb"
2,RA05,10,10.1,HECO,4/8/2022,3,1.3,10,
2,RA05,10,10.2,POSE,4/8/2022,3,1.3,50,close to a 4
2,RA05,10,F10,PELA,4/8/2022,4,0.8,90,"same as 5&9, took pic of phlox incase I'm wrong"
2,RA07,1,1.2,POSE,4/8/2022,3,1.8,50,skimpy looking
2,RA07,1,1.1,ACHY,4/8/2022,3,1.7,30,
2,RA07,1,F1,ANDI,4/8/2022,4,0.4,100,"unsure sp., starting to flower (check picture, listed as 4)"
2,RA07,2,2.1,POSE,4/8/2022,3,1.6,70,
2,RA07,2,2.2,POSE,4/8/2022,3,1.5,80,
2,RA07,2,F2,ERCA,4/8/2022,3,0.5,30,succulent mostly purple but starting to green. Another forb nearby starting to flower (Vesper genus)
2,RA07,3,3.1,POSE,4/8/2022,4,2.1,75,
2,RA07,3,3.2,POSE,4/8/2022,3,1.9,60,
2,RA07,3,F3,ERCA,4/8/2022,2,0.5,1,succulent almost all purple
2,RA07,4,4.2,POSE,4/8/2022,3,1.8,50,
2,RA07,4,4.1,POSE,4/8/2022,3,1.6,75,
2,RA07,4,F4,ERCA,4/8/2022,2,0.5,5,"succulent purple with some green starting, other forbs just showing yellow flowers"
2,RA07,5,5.1,POSE,4/8/2022,3,2.1,60,borderline 4
2,RA07,5,5.2,POSE,4/8/2022,4,1.8,60,borderline 3
2,RA07,5,F5,ERHO,4/8/2022,3,0.2,60,"same sp. as RA18 1&2, not quite showing flowers"
2,RA07,6,6.1,HECO,4/8/2022,3,2.4,40,
2,RA07,6,6.2,POSE,4/8/2022,4,2.3,70,close to a 5
2,RA07,6,F6,PHHO,4/8/2022,3,0.6,50,"phlox, half gray half green"
2,RA07,7,7.1,ACHY,4/8/2022,3,2.3,50,
2,RA07,7,7.2,POSE,4/8/2022,3,2,60,very close to a 4
2,RA07,7,F7,ALDE,4/8/2022,7,0.9,90,"unsure sp. started flowering (check pictures, listed as 4)"
2,RA07,8,8.1,ACHY,4/8/2022,3,1.9,30,
2,RA07,8,8.2,POSE,4/8/2022,4,1.9,90,skimpy looking
2,RA07,8,F8,LIPU,4/8/2022,3,0.3,30,"unsure sp., vertical growing but leaves small"
2,RA07,9,9.2,POSE,4/8/2022,4,2,75,
2,RA07,9,9.1,HECO,4/8/2022,3,1.3,20,
2,RA07,9,F9,ALDE,4/8/2022,4,0.9,90,"sp. with yellow flowers very faint, flowers starting (check pictures, listed as 4)"
2,RA07,10,10.1,POSE,4/8/2022,3,2.1,60,nearly a 4
2,RA07,10,10.2,POSE,4/8/2022,3,2.1,70,nearly a 4
2,RA07,10,F10,PHHO,4/8/2022,4,0.3,85,phlox? Mostly light green
2,RA17,1,1.1,ELsp,4/9/2022,3,4.5,60,"(check ID, different week 1 to week 2)"
2,RA17,1,1.2,HECO,4/9/2022,3,1.8,50,
2,RA17,1,1,BOGR,4/9/2022,2,0.2,0.1,
2,RA17,1,F1,CRsp,4/9/2022,1,0,0,unknown sp.
2,RA17,2,2.1,HECO,4/9/2022,3,2.7,20,
2,RA17,2,2.2,HECO,4/9/2022,4,1.8,70,
2,RA17,2,2,BOGR,4/9/2022,3,0.3,0.5,
2,RA17,2,F2,CRsp,4/9/2022,1,0,0,unknown sp. same as F1
2,RA17,3,3.1,HECO,4/9/2022,3,2.1,45,
2,RA17,3,3.2,HECO,4/9/2022,4,1.8,60,"maybe 5, seemed taller than non-shoot old growth but that looked broken"
2,RA17,3,3,BOGR,4/9/2022,3,0.3,0.5,
2,RA17,3,F3,CRsp,4/9/2022,1,0,0,unknown sp. same as F1
2,RA17,4,4.1,HECO,4/9/2022,3,2.4,10,
2,RA17,4,4.2,HECO,4/9/2022,3,1.6,50,
2,RA17,4,F4,ALDE,4/9/2022,7,0.9,95,yellow flowers starting to show buds (check picture)
2,RA17,4,4,BOGR,4/9/2022,3,0.3,0.5,
2,RA17,5,5.1,HECO,4/9/2022,3,3.2,30,
2,RA17,5,F5,CYAC,4/9/2022,7,2.5,90,same sp. as last site? Seems to be starting to show bulb (check picture)
2,RA17,5,5.2,HECO,4/9/2022,4,2.2,80,maybe 4/5 old growth shoots
2,RA17,5,5,BOGR,4/9/2022,3,0.3,0.5,
2,RA17,6,6.1,HECO,4/9/2022,3,3.1,40,
2,RA17,6,6.2,HECO,4/9/2022,4,2.3,60,
2,RA17,6,6,BOGR,4/9/2022,2,0.2,0.1,
2,RA17,7,7.1,HECO,4/9/2022,3,3.5,40,
2,RA17,7,7.2,HECO,4/9/2022,4,2.3,70,"most old growth is shoots, maybe 5?"
2,RA17,7,F7,CRsp,4/9/2022,4,2.3,70,unsure sp.
2,RA17,7,7,BOGR,4/9/2022,3,0.3,0.5,
2,RA17,8,8.1,HECO,4/9/2022,3,3.5,30,
2,RA17,8,8.2,HECO,4/9/2022,4,2.1,80,
2,RA17,8,8,BOGR,4/9/2022,2,0.2,0.1,
2,RA17,9,9.1,ACHY,4/9/2022,3,3.5,35,"(check ID, different week 1 to week 2)"
2,RA17,9,9.2,HECO,4/9/2022,4,2.3,85,"stage difficult, old growth mostly seems like shoots"
2,RA17,9,9,BOGR,4/9/2022,3,0.3,0.5,
2,RA17,10,F10,CRsp,4/9/2022,4,3.5,80,unsure sp.
2,RA17,10,10.1,HECO,4/9/2022,3,2.9,35,"(check ID, different week 1 to week 2)"
2,RA17,10,10.2,HECO,4/9/2022,4,2,75,maybe 4/5 old growth shoots
2,RA17,10,10,BOGR,4/9/2022,3,0.3,0.5,
2,RA18,1,1.2,POSE,4/8/2022,4,2,95,
2,RA18,1,1.1,HECO,4/8/2022,3,1.7,10,
2,RA18,1,F1,ERHO,4/8/2022,3,0.2,15,"Phlox, bright green where green"
2,RA18,1,1,BOGR,4/8/2022,2,0.1,0.1,
2,RA18,2,2.1,HECO,4/8/2022,3,1.5,30,
2,RA18,2,2.2,POSE,4/8/2022,3,1.4,40,
2,RA18,2,F2,ERHO,4/8/2022,3,0.2,15,"Phlox, bright green where green"
2,RA18,2,2,BOGR,4/8/2022,2,0.1,0.1,
2,RA18,3,3.2,POSE,4/8/2022,3,1.9,50,
2,RA18,3,3.1,HECO,4/8/2022,3,1.5,25,
2,RA18,3,3,BOGR,4/8/2022,2,0.1,0.1,
2,RA18,3,F3,PHHO,4/8/2022,1,0.1,1,"Unsure sp., same sp. next to it is stage 3, 30% green"
2,RA18,4,4.1,ACHY,4/8/2022,3,2,30,
2,RA18,4,4.2,POSE,4/8/2022,3,1.6,75,
2,RA18,4,F4,PHHO,4/8/2022,3,0.4,80,"Unsure sp., mosty green"
2,RA18,4,4,BOGR,4/8/2022,2,0.2,0.1,
2,RA18,5,5.1,HECO,4/8/2022,3,2.1,40,
2,RA18,5,5.2,POSE,4/8/2022,3,1.5,80,Very nearly a 4
2,RA18,5,F5,LERE,4/8/2022,4,1.1,100,"Bitterroot, all green no flower, some nearby looking more yellow"
2,RA18,5,5,BOGR,4/8/2022,2,0.2,0.1,
2,RA18,6,6.2,POSE,4/8/2022,4,2.4,85,
2,RA18,6,6.1,HECO,4/8/2022,3,2.1,15,
2,RA18,6,6,BOGR,4/8/2022,2,0.2,0.1,
2,RA18,6,F6,ASPU,4/8/2022,3,0.2,50,"Unsure sp., hard to tell what should be what color"
2,RA18,7,7.1,HECO,4/8/2022,3,1.8,40,
2,RA18,7,7.2,POSE,4/8/2022,4,1.3,75,
